valor_original,novo_valor
13ª VARA DOS FEITOS DE RELAÇÃO DE CONSUMO CÍVEIS,Vara Cível
13ª Vara Federal de Porto Alegre,Vara Cível
13ª VSJE DO CONSUMIDOR (FEDERAÇÃO MATUTINO),Juizado Especial Cível
13ª VSJE DO CONSUMIDOR (MATUTINO),Juizado Especial Cível
13º Juizado Esp. Cível e das Rel. de Consumo ,Juizado Especial Cível
13º JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
13º Juizado Especial Cível,Juizado Especial Cível
13º Juizado Especial Civel ,Juizado Especial Cível
13º Juizado Especial Civel - Regional do Méier,Juizado Especial Cível
13º JUIZADO ESPECIAL CÍVEL DAS RELAÇÕES DE CONSUMO,Juizado Especial Cível
13º JUIZADO ESPECIAL CÍVEL E REALAÇÕES DE CONSUMO,Juizado Especial Cível
13º JUIZADO ESPECIAL CRIMINAL,Juizado Especial Cível
13º JUIZADO ESPECIALCÍVEL,Juizado Especial Cível
14 Juizado Especial Cível ,Juizado Especial Cível
14° Juizado Especial Cível,Juizado Especial Cível
14° Vara Cível,Vara Cível
14° Vara Dos Juizados Especiais Do Consumidor,Juizado Especial Cível
14°Juizado Especial Cível e das Relações de Consumo da Capital ,Juizado Especial Cível
14ª Câmara Cível,Vara Cível
14ª Câmara de Direito Privado,Vara Cível
14ª UNIDADE DO JUIZADO ESPECIAL CÍVEL E CRIMINAL,Juizado Especial Cível
14ª VARA CÍVEL,Vara Cível
14ª Vara Cível,Vara Cível
14ª Vara Cível ,Vara Cível
14ª Vara Cível - Regional de Santo Amaro,Vara Cível
14ª Vara Cível e Ambiental,Vara Cível
14ª VARA DO JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
14ª Vara do Juizado Especial Cível,Juizado Especial Cível
14ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
14ª VARA DOS FEITOS RELATIVO ÀS REL. DE CONSUMO,Vara Cível
14ª VSJE DO CONSUMIDOR (FEDERAÇÃO VESPERTINO),Juizado Especial Cível
14ª VSJE DO CONSUMIDOR (IMBUÍ VESPERTINO),Juizado Especial Cível
14ª VSJE DO CONSUMIDOR (VESPERTINO),Juizado Especial Cível
14º JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
14º Juizado Especial Cível,Juizado Especial Cível
14º Juizado Especial Cível,Juizado Especial Cível
