situacao_processual,resultado_decisao,novo_situacao_processual+resultado_decisao,situacao_processual_sentenca
DESISTÊNCIA,Extinção,Extinção sem julgamento do mérito,DESISTÊNCIAExtinção
Emissão de E-ticket (Voucher),Obrigação de fazer,Condenação,Emissão de E-ticket (Voucher)Obrigação de fazer
Encerrado,,Não informado,Encerrado
Encerrado,Acordo,Acordo,EncerradoAcordo
Encerrado,Arquivado,Não informado,EncerradoArquivado
Encerrado,Bloqueio,Não informado,EncerradoBloqueio
Encerrado,Extinto,Não informado,EncerradoExtinto
Encerrado,Improcedente,Decisão favorável à aérea (improcedência),EncerradoImprocedente
Encerrado,Não Aplicável,Não informado,EncerradoNão Aplicável
Encerrado,Parcialmente Procedente,Condenação,EncerradoParcialmente Procedente
Encerrado,Procedente,Condenação,EncerradoProcedente
Encerrado,Recurso,Não informado,EncerradoRecurso
Encerrado,Suspensão processual,Não informado,EncerradoSuspensão processual
Execução,,Não informado,Execução
Êxito Parcial,Êxito Parcial,Condenação,Êxito ParcialÊxito Parcial
Êxito Total,Êxito Total,Decisão favorável à aérea (improcedência),Êxito TotalÊxito Total
EXTINÇÃO,Abandono de causa pelo Autor,Extinção sem julgamento do mérito,EXTINÇÃOAbandono de causa pelo Autor
EXTINÇÃO,Acordo com terceiro que aproveitou o cliente,Extinção sem julgamento do mérito,EXTINÇÃOAcordo com terceiro que aproveitou o cliente
EXTINÇÃO,Ausência de interesse processual,Extinção sem julgamento do mérito,EXTINÇÃOAusência de interesse processual
EXTINÇÃO,Ausência de pressupostos processuais,Extinção sem julgamento do mérito,EXTINÇÃOAusência de pressupostos processuais
EXTINÇÃO,Ausência de pressupostos processuais / condições da ação,Extinção sem julgamento do mérito,EXTINÇÃOAusência de pressupostos processuais / condições da ação
EXTINÇÃO,Ausência injustificada do autor na audiência,Extinção sem julgamento do mérito,EXTINÇÃOAusência injustificada do autor na audiência
EXTINÇÃO,Condenação paga pela Corré,Condenação,EXTINÇÃOCondenação paga pela Corré
EXTINÇÃO,Desistência do autor,Extinção sem julgamento do mérito,EXTINÇÃODesistência do autor
EXTINÇÃO,Extinção,Não informado,EXTINÇÃOExtinção
EXTINÇÃO,Ilegitimidade Ativa,Extinção sem julgamento do mérito,EXTINÇÃOIlegitimidade Ativa
EXTINÇÃO,Ilegitimidade passiva,Extinção sem julgamento do mérito,EXTINÇÃOIlegitimidade passiva
EXTINÇÃO,Incompetência absoluta (valor da causa),Extinção sem julgamento do mérito,EXTINÇÃOIncompetência absoluta (valor da causa)
EXTINÇÃO,Incompetência Territorial,Extinção sem julgamento do mérito,EXTINÇÃOIncompetência Territorial
EXTINÇÃO,Indeferimento da petição inicial,Extinção sem julgamento do mérito,EXTINÇÃOIndeferimento da petição inicial
EXTINÇÃO,Inépcia da petição inicial,Extinção sem julgamento do mérito,EXTINÇÃOInépcia da petição inicial
EXTINÇÃO,"Perempção, litispendência ou coisa julgada",Extinção sem julgamento do mérito,"EXTINÇÃOPerempção, litispendência ou coisa julgada"
EXTINÇÃO,Prescrição,Decisão favorável à aérea (improcedência),EXTINÇÃOPrescrição
EXTINÇÃO,Reclamação pré processual infrutífera,Extinção sem julgamento do mérito,EXTINÇÃOReclamação pré processual infrutífera
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,,Extinção sem julgamento do mérito,EXTINÇÃO COM RESOLUÇÃO DO MÉRITO
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Abandono de causa pelo Autor,Extinção sem julgamento do mérito,EXTINÇÃO COM RESOLUÇÃO DO MÉRITOAbandono de causa pelo Autor
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Acordo com terceiro que aproveitou o cliente,Extinção sem julgamento do mérito,EXTINÇÃO COM RESOLUÇÃO DO MÉRITOAcordo com terceiro que aproveitou o cliente
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Ausência injustificada do autor na audiência,Extinção sem julgamento do mérito,EXTINÇÃO COM RESOLUÇÃO DO MÉRITOAusência injustificada do autor na audiência
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Condenação paga pela Corré,Condenação,EXTINÇÃO COM RESOLUÇÃO DO MÉRITOCondenação paga pela Corré
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Desistência do autor,Extinção sem julgamento do mérito,EXTINÇÃO COM RESOLUÇÃO DO MÉRITODesistência do autor
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Ilegitimidade passiva,Extinção sem julgamento do mérito,EXTINÇÃO COM RESOLUÇÃO DO MÉRITOIlegitimidade passiva
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Improcedente,Decisão favorável à aérea (improcedência),EXTINÇÃO COM RESOLUÇÃO DO MÉRITOImprocedente
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,"Perempção, litispendência ou coisa julgada",Extinção sem julgamento do mérito,"EXTINÇÃO COM RESOLUÇÃO DO MÉRITOPerempção, litispendência ou coisa julgada"
EXTINÇÃO COM RESOLUÇÃO DO MÉRITO,Prescrição,Decisão favorável à aérea (improcedência),EXTINÇÃO COM RESOLUÇÃO DO MÉRITOPrescrição
Extinção Sem Julgamento de Mérito,Vitória,Decisão favorável à aérea (improcedência),Extinção Sem Julgamento de MéritoVitória
Extinção sem Julgamento de Mérito - JUSPRO,Vitória,Decisão favorável à aérea (improcedência),Extinção sem Julgamento de Mérito - JUSPROVitória
