operacao_original,operacao_reclassificado
CWB/GRU/MAO,Doméstico
CWB/GRU/MCZ/MCZ/GIG/CWB,Doméstico
CWB/GRU/NAT,Doméstico
CWB/GRU/PUJ,Internacional
CWB/GRU/SCL,Internacional
CWB/GRU/SCL/SCL/GRU/CWB,Internacional
CWB/GRU/SSA,Doméstico
CWB/GRU/UDI/UDI/GRU,Doméstico
CWB/GRU/VDC,Doméstico
CWB/GRU/VIX,Doméstico
CWB/IGU,Doméstico
CWB/IGU/CWB,Doméstico
CWB/IGU/GRU/CWB,Doméstico
CWB/IGU/IGU/CWB,Doméstico
CWB/JDO,Doméstico
CWB/POA,Doméstico
CWB/QGA,Doméstico
CWB/REC,Doméstico
CWB/SCL,Internacional
CWB/SDU,Doméstico
CWB/SDU/CGH,Doméstico
CWB/SDU/CGH/BSB,Doméstico
CWB/SDU/CWB,Doméstico
CWB/SDU/POA/POA/SDU/CWB,Doméstico
CWB/SDU/SDU/CWB,Doméstico
CWB/SDU/VIX,Doméstico
CWB/SSA,Doméstico
CWB/SSA/FOR,Doméstico
CWG/GRU,Outros
CWU/GRU,Doméstico
CWV/FOR,Doméstico
CXJ/CGH,Doméstico
CXJ/GRU,Doméstico
CXJ/GRU/GRU/CGR,Doméstico
CXJ/GRU/SSA,Doméstico
CXJ/SSA,Doméstico
CXJ/VIX,Doméstico
CXS/GRU,Doméstico
CXS/GRU/FOR,Doméstico
CZS/BSB,Doméstico
CZS/GYN,Doméstico
CZS/RBR,Doméstico
CZS/RBR/BSB/MAO,Doméstico
Doméstico,Doméstico
Doméstico,Doméstico
DOU/GRU,Doméstico
DOU/GRU/DOU,Doméstico
DOU/GRU/GIG/FOR,Doméstico
DOU/GRU/GRU/DOU,Doméstico
DOU/GRU/POA/POA/GRU/DOU,Doméstico
DVD/ATZ/ REC/SSA,Outros
DXB/AMS/FOR,Internacional
EWK/CLT/MCO/BSB,Internacional
EZE/BSB,Internacional
EZE/GIG,Internacional
EZE/GIG/GIG/VIX,Internacional
EZE/GRU,Internacional
EZE/GRU/BSB/PVH,Internacional
EZE/GRU/CWB,Internacional
FCO/AMS/GRU/CWB,Internacional
FEC/REC,Doméstico
FEN/CGR,Doméstico
FEN/MAO,Doméstico
FEN/REC,Doméstico
FEN/REC/,Doméstico
FEN/REC/CGH,Doméstico
FEN/REC/CGH/FLN,Doméstico
FEN/REC/GIG/FLN,Doméstico
FEN/REC/GRU,Doméstico
FEN/REC/GRU/VIX,Doméstico
FEN/REC/SSA,Doméstico
FEN/VCP,Doméstico
FLLN/MCZ,Doméstico
FLM/GRU/BSB/PVH,Internacional
FLN CGH,Doméstico
FLN/AEP,Internacional
FLN/BRA,Doméstico
FLN/BSB,Doméstico
FLN/BSB/BSB/FLN,Doméstico
FLN/BSB/BSB/PVH,Doméstico
FLN/BSB/FLN,Doméstico
FLN/BSB/PVH,Doméstico
FLN/BSB/STM,Doméstico
FLN/CGH,Doméstico
FLN/CGH/BSB,Doméstico
FLN/CGH/BSB/PVH,Doméstico
FLN/CGH/BYO,Doméstico
FLN/CGH/CGH/FLN,Doméstico
FLN/CGH/FLN,Doméstico
FLN/CGH/SDU,Doméstico
FLN/CGH/SSA,Doméstico
FLN/CGH/SSA/FOR,Doméstico
FLN/CGH/VIX,Doméstico
FLN/CGN,Internacional
FLN/CNF,Doméstico
FLN/CNF CNF/FLN,Doméstico
FLN/EZE,Internacional
